title,country,points,price,province,variety,category,flavor_categories_taste_notes
Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Italy,100,460,Tuscany,Merlot,red,"medium bodied, balanced"
Casa Ferreirinha 2008 Barca-Velha Red (Douro),Portugal,100,450,Douro,Portuguese Red,red,"medium bodied, balanced"
Biondi Santi 2010 Riserva  (Brunello di Montalcino),Italy,100,550,Tuscany,Sangiovese,red,"medium bodied, balanced"
Cardinale 2006 Cabernet Sauvignon (Napa Valley),US,100,200,California,Cabernet Sauvignon,red,"medium bodied, balanced"
Château Léoville Barton 2010  Saint-Julien,France,100,150,Bordeaux,Bordeaux-style Red Blend,red,other
Château Lafite Rothschild 2010  Pauillac,France,100,1500,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Italy,100,270,Tuscany,Sangiovese Grosso,red,"full bodied, robust"
Château Cheval Blanc 2010  Saint-Émilion,France,100,1500,Bordeaux,Bordeaux-style Red Blend,red,"medium bodied, balanced"
Château Léoville Las Cases 2010  Saint-Julien,France,100,359,Bordeaux,Bordeaux-style Red Blend,red,"full bodied, robust"
Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),US,100,80,Washington,Syrah,red,"medium bodied, balanced"
Quinta do Noval 2011 Nacional Vintage  (Port),Portugal,100,650,Port,Port,red,"medium bodied, balanced"
Verité 2007 La Muse Red (Sonoma County),US,100,450,California,Bordeaux-style Red Blend,red,"full bodied, robust"
Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),France,100,617,Champagne,Chardonnay,white,"dry, briny, crisp, acidic"
Château Haut-Brion 2014  Pessac-Léognan,France,100,848,Bordeaux,Bordeaux-style White Blend,white,balanced/ complex
Krug 2002 Brut  (Champagne),France,100,259,Champagne,Champagne Blend,sparkling,"balanced, complex, moderate"
Louis Roederer 2008 Cristal Vintage Brut  (Champagne),France,100,250,Champagne,Champagne Blend,sparkling,"balanced, complex, moderate"
Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),US,99,125,Washington,Cabernet Sauvignon,red,"medium bodied, balanced"
Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),US,99,94,California,Pinot Noir,red,"full bodied, robust"
Tenuta San Guido 2012 Sassicaia  (Bolgheri Sassicaia),Italy,99,235,Tuscany,Red Blend,red,"full bodied, robust"
Le Macchiole 2007 Messorio Merlot (Toscana),Italy,99,320,Tuscany,Merlot,red,"medium bodied, balanced"
Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),Italy,99,595,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Mascarello Giuseppe e Figlio 2010 Monprivato  (Barolo),Italy,99,175,Piedmont,Nebbiolo,red,"medium bodied, balanced"
Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),US,99,75,Oregon,Syrah,red,"medium bodied, balanced"
Williams Selyem 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),US,99,75,California,Pinot Noir,red,"medium bodied, balanced"
Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),US,99,75,Oregon,Syrah,red,"full bodied, robust"
