price,country_Australia,points,country_Austria,country_Portugal,country_US,taster_name_Alexander Peartree,taster_name_Matt Kettmann,taster_name_Michael Schachner,taster_name_Paul Gregutt
15.0,0,87,0,1,0,0,0,0,0
14.0,0,87,0,0,1,0,0,0,1
13.0,0,87,0,0,1,1,0,0,0
65.0,0,87,0,0,1,0,0,0,1
15.0,0,87,0,0,0,0,0,1,0
16.0,0,87,0,0,0,0,0,0,0
24.0,0,87,0,0,0,0,0,0,0
12.0,0,87,0,0,0,0,0,0,0
27.0,0,87,0,0,0,0,0,0,0
19.0,0,87,0,0,1,0,0,0,0
30.0,0,87,0,0,0,0,0,0,0
34.0,0,87,0,0,1,0,0,0,0
12.0,0,87,0,0,1,0,1,0,0
24.0,0,87,0,0,0,0,0,0,0
30.0,0,87,0,0,0,0,0,1,0
13.0,0,87,0,0,0,0,0,1,0
28.0,0,87,0,0,0,0,0,1,0
32.0,0,87,0,0,1,1,0,0,0
23.0,0,87,0,0,1,1,0,0,0
20.0,0,87,0,0,1,0,0,0,1
19.0,0,87,0,0,0,0,0,0,0
22.0,0,87,0,0,1,0,1,0,0
35.0,0,87,0,0,0,0,0,0,0
69.0,0,87,0,0,1,0,0,0,0
13.0,0,87,0,0,0,0,0,0,0
10.0,0,87,0,0,0,0,0,0,0
17.0,0,87,0,0,0,0,0,0,0
16.0,0,86,0,0,1,0,0,0,0
50.0,0,86,0,0,1,0,0,0,0
20.0,0,86,0,0,1,0,0,0,0
50.0,0,86,0,0,1,0,0,0,1
15.0,0,86,0,0,0,0,0,1,0
21.0,0,86,0,0,0,0,0,0,0
11.0,0,86,0,0,0,0,0,0,0
12.0,0,86,0,0,0,0,0,0,0
17.0,0,86,0,0,0,0,0,0,0
22.0,0,86,0,0,1,0,0,0,1
9.0,0,86,0,0,0,0,0,0,0
14.0,0,86,0,0,1,0,0,0,0
9.0,0,86,0,0,0,0,0,1,0
40.0,0,86,0,0,1,0,0,0,0
13.0,0,86,0,0,0,0,0,0,0
13.0,0,86,0,0,1,0,0,0,0
16.0,0,86,0,0,1,0,0,0,0
14.0,0,86,0,0,0,0,0,0,0
22.0,0,85,0,0,0,0,0,1,0
14.0,0,85,0,0,0,0,0,0,0
15.0,0,85,0,0,0,0,0,0,0
30.0,0,85,0,0,1,0,0,0,0
14.0,0,85,0,0,1,0,0,0,0
13.0,0,85,0,0,0,0,0,0,0
13.0,0,85,0,0,0,0,0,1,0
55.0,0,86,0,0,1,0,0,0,0
100.0,0,86,0,0,1,0,0,0,0
17.0,0,86,0,0,0,0,0,0,0
25.0,0,86,0,0,1,0,0,0,0
58.0,0,86,0,0,0,0,0,0,0
26.0,0,86,0,0,1,0,1,0,0
24.0,0,86,0,0,0,0,0,0,0
15.0,0,86,0,0,0,0,0,0,0
46.0,0,86,0,0,1,0,0,0,0
12.0,0,86,0,0,1,0,0,0,0
55.0,0,86,0,0,0,0,0,0,0
12.0,0,86,0,0,1,0,0,0,0
40.0,0,86,0,0,1,0,0,0,0
32.0,0,86,0,0,0,0,0,0,0
75.0,0,86,0,0,1,0,0,0,0
55.0,0,86,0,0,1,0,0,0,0
75.0,0,86,0,0,1,0,0,0,0
9.0,0,86,0,0,0,0,0,0,0
18.0,1,86,0,0,0,0,0,0,0
25.0,0,86,0,0,1,0,0,0,1
12.0,0,86,0,0,0,0,0,1,0
16.0,0,86,0,0,0,0,0,1,0
11.0,0,86,0,0,0,0,0,0,0
20.0,1,86,0,0,0,0,0,0,0
24.0,0,86,0,0,1,0,0,0,0
10.0,0,86,0,0,0,0,0,0,0
20.0,0,86,0,0,1,0,0,0,0
55.0,0,86,0,0,1,0,0,0,0
29.0,0,86,0,0,0,0,0,0,0
19.0,0,88,0,0,0,0,0,0,0
23.0,0,88,0,0,1,0,0,0,0
18.0,0,88,0,0,1,0,0,0,0
55.0,0,88,0,0,1,0,0,0,0
12.0,0,88,1,0,0,0,0,0,0
22.0,0,88,0,0,1,0,0,0,0
20.0,0,88,0,0,0,0,0,0,0
18.0,0,88,0,0,0,0,0,0,0
20.0,0,88,0,0,1,0,0,0,0
30.0,0,88,0,0,0,0,0,0,0
75.0,0,88,0,0,1,0,0,0,0
18.0,0,88,0,0,1,0,0,0,0
20.0,0,87,0,0,1,0,0,0,0
20.0,0,87,0,0,1,0,0,0,0
18.0,0,87,0,0,0,0,0,1,0
16.0,0,87,0,0,0,0,0,0,0
14.0,0,87,0,0,0,0,0,0,0
30.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
26.0,0,87,0,0,1,0,1,0,0
30.0,0,87,0,0,0,0,0,0,0
23.0,0,87,0,0,0,0,0,0,0
85.0,0,87,0,0,1,0,0,0,0
15.0,0,87,0,0,0,0,0,0,0
19.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,1,0,1,0,0
18.0,0,87,0,0,1,0,1,0,0
25.0,0,87,0,0,1,0,1,0,0
44.0,0,87,0,0,1,0,1,0,0
80.0,0,87,0,0,0,0,0,0,0
80.0,0,92,0,0,0,0,0,0,0
70.0,0,92,0,0,0,0,0,0,0
36.0,0,92,0,0,1,0,0,0,0
39.0,0,92,0,0,1,0,0,0,0
40.0,1,92,0,0,0,0,0,0,0
45.0,0,92,0,0,1,0,0,0,0
45.0,0,91,0,0,0,0,0,0,0
48.0,0,91,0,0,0,0,0,0,0
13.0,0,91,0,0,0,0,0,0,0
17.0,0,91,0,0,0,0,0,0,0
25.0,0,91,0,0,0,0,0,0,0
70.0,0,91,0,0,0,0,0,0,0
20.0,0,91,0,0,0,0,0,0,0
30.0,0,91,0,0,0,0,0,0,0
68.0,0,91,0,0,0,0,0,0,0
78.0,0,91,0,0,1,0,0,0,0
60.0,0,91,0,0,0,0,0,0,0
50.0,0,91,0,0,0,0,0,0,0
10.0,0,90,0,0,0,0,0,0,0
112.0,0,90,0,0,0,0,0,0,0
26.0,0,90,0,0,0,0,0,0,0
45.0,0,90,0,0,0,0,0,0,0
17.0,0,90,0,0,1,0,0,0,0
84.0,0,90,0,0,0,0,0,0,0
85.0,0,91,0,0,1,0,0,0,0
64.0,0,91,0,0,1,0,1,0,0
68.0,0,91,0,0,1,0,1,0,0
68.0,0,91,0,0,1,0,1,0,0
16.0,0,91,0,0,0,0,0,0,0
35.0,0,91,0,0,1,0,1,0,0
25.0,0,91,0,0,1,0,0,0,0
30.0,0,91,0,1,0,0,0,0,0
55.0,0,91,0,0,1,0,1,0,0
46.0,0,91,0,0,1,0,1,0,0
50.0,0,91,0,0,0,0,0,1,0
36.0,0,91,0,0,1,0,1,0,0
14.0,0,91,0,0,0,0,0,0,0
26.0,0,91,0,1,0,0,0,0,0
38.0,0,91,0,0,0,0,0,0,0
35.0,0,91,0,0,0,0,0,0,0
35.0,0,91,0,0,1,0,1,0,0
28.0,0,91,0,0,1,0,1,0,0
29.0,0,91,0,0,0,0,0,1,0
32.0,0,91,0,0,0,0,0,1,0
25.0,0,91,0,0,0,0,0,0,0
28.0,0,91,0,0,1,0,1,0,0
95.0,0,91,0,0,1,0,0,0,0
44.0,0,91,0,0,1,0,0,0,0
30.0,0,91,0,0,0,0,0,0,0
22.0,0,91,0,0,0,0,0,0,0
20.0,0,91,0,0,0,0,0,1,0
38.0,0,91,0,0,1,0,0,0,1
19.0,0,88,0,0,0,0,0,0,0
25.0,0,88,0,0,0,0,0,0,0
50.0,0,88,0,0,0,0,0,1,0
22.0,0,88,0,0,0,0,0,0,0
25.0,0,88,0,0,1,0,0,0,0
27.0,0,88,0,0,0,0,0,0,0
23.0,0,88,0,0,1,0,0,0,0
36.0,0,88,0,0,1,0,0,0,0
12.0,0,88,0,0,0,0,0,1,0
35.0,0,88,0,0,1,0,0,0,0
15.0,0,88,0,0,0,0,0,1,0
40.0,0,88,0,0,1,0,0,0,0
48.0,0,88,0,0,0,0,0,0,0
11.0,0,88,0,0,0,0,0,1,0
11.0,0,87,0,0,0,0,0,1,0
26.0,0,87,0,0,0,0,0,0,0
30.0,1,87,0,0,0,0,0,0,0
20.0,0,87,0,0,0,0,0,0,0
35.0,0,87,0,0,0,0,0,0,0
35.0,0,87,0,0,0,0,0,0,0
18.0,0,87,0,0,0,0,0,0,0
23.0,0,90,0,0,0,0,0,0,0
60.0,0,90,0,0,1,0,0,0,0
28.0,0,90,0,0,1,0,0,0,0
62.0,0,90,0,0,0,0,0,0,0
50.0,0,90,0,0,0,0,0,0,0
28.0,0,90,0,1,0,0,0,0,0
30.0,0,90,0,0,1,0,1,0,0
25.0,0,90,0,0,1,0,1,0,0
25.0,0,90,0,0,1,0,0,0,0
32.0,0,90,0,0,1,0,0,0,0
40.0,0,90,0,0,0,0,0,0,0
16.0,0,90,0,0,0,0,0,0,0
20.0,0,90,0,0,0,0,0,0,0
32.0,0,90,0,0,0,0,0,0,0
40.0,0,90,0,0,0,0,0,1,0
48.0,0,90,0,0,1,0,1,0,0
36.0,0,90,0,0,1,0,0,0,0
80.0,0,90,0,0,0,0,0,0,0
57.0,0,90,0,0,0,0,0,0,0
20.0,0,90,0,1,0,0,0,0,0
20.0,0,90,0,0,1,0,0,0,0
36.0,0,90,0,0,0,0,0,0,0
40.0,0,90,0,0,1,0,0,0,0
40.0,0,90,0,0,0,0,0,0,0
22.0,0,90,0,0,0,0,0,1,0
25.0,0,90,0,0,0,0,0,0,0
20.0,0,90,0,0,0,0,0,0,0
15.0,0,85,0,0,1,0,0,0,0
14.0,0,85,0,0,1,0,0,0,0
18.0,0,85,0,0,1,0,0,0,0
16.0,0,85,0,0,1,0,0,0,0
10.0,0,85,0,0,0,0,0,1,0
12.0,1,85,0,0,0,0,0,0,0
28.0,0,85,0,0,1,0,0,0,1
10.0,0,85,0,0,0,0,0,0,0
49.0,0,85,0,0,1,0,0,0,0
85.0,0,85,0,0,1,0,0,0,0
18.0,0,85,0,0,0,0,0,0,0
29.0,1,85,0,0,0,0,0,0,0
36.0,0,85,0,0,1,0,0,0,0
9.0,0,85,0,0,0,0,0,0,0
34.0,0,85,0,0,1,0,0,0,0
15.0,0,85,0,0,1,0,0,0,0
30.0,0,85,0,0,1,0,0,0,0
13.0,0,85,0,0,0,0,0,1,0
12.0,0,85,0,0,0,0,0,1,0
15.0,1,85,0,0,0,0,0,0,0
25.0,0,85,0,0,1,0,0,0,0
45.0,0,85,0,0,1,0,0,0,1
18.0,0,85,0,0,1,0,0,0,0
49.0,0,85,0,0,1,0,0,0,0
22.0,0,85,0,0,1,0,0,0,1
