V12,CollegeGrad,Service,Race_Asian NH,Race_Black NH,Race_White NH
6.0,51.0,156.0,0,0,0
70.0,1541.0,489.0,1,0,0
1020.0,1936.0,9125.0,0,1,0
41.0,275.0,345.0,0,0,0
8512.0,55667.0,49347.0,0,0,1
37.0,126.0,219.0,0,0,0
183.0,1898.0,981.0,1,0,0
744.0,1991.0,6038.0,0,1,0
87.0,1032.0,1238.0,0,0,0
9985.0,77328.0,58796.0,0,0,1
231.0,1041.0,1983.0,0,0,0
171.0,966.0,624.0,1,0,0
105.0,663.0,972.0,0,1,0
2826.0,6885.0,19515.0,0,0,0
3564.0,41649.0,18621.0,0,0,1
18.0,105.0,113.0,0,0,0
271.0,810.0,339.0,1,0,0
131.0,538.0,1383.0,0,1,0
405.0,828.0,2411.0,0,0,0
7268.0,46580.0,40165.0,0,0,1
96.0,395.0,375.0,0,0,0
1075.0,7031.0,4388.0,1,0,0
10945.0,52306.0,80819.0,0,1,0
841.0,5416.0,6019.0,0,0,0
32873.0,272629.0,98606.0,0,0,1
146.0,268.0,317.0,0,0,0
100.0,2928.0,2120.0,1,0,0
1053.0,4460.0,11023.0,0,1,0
2508.0,7413.0,15652.0,0,0,0
7493.0,88384.0,34201.0,0,0,1
110.0,154.0,552.0,0,0,0
307.0,1204.0,1364.0,1,0,0
339.0,966.0,3122.0,0,1,0
2616.0,1719.0,10492.0,0,0,0
5738.0,26942.0,25481.0,0,0,1
156.0,567.0,839.0,0,0,0
902.0,6054.0,4098.0,1,0,0
9354.0,29840.0,81236.0,0,1,0
520.0,2535.0,2517.0,0,0,0
25612.0,198538.0,107834.0,0,0,1
24.0,87.0,108.0,0,0,0
39.0,906.0,450.0,1,0,0
3177.0,6543.0,21327.0,0,1,0
165.0,765.0,765.0,0,0,0
5565.0,39828.0,19452.0,0,0,1
114.0,106.0,315.0,0,0,0
93.0,497.0,418.0,1,0,0
3902.0,11042.0,30728.0,0,1,0
42.0,347.0,125.0,0,0,0
9578.0,62338.0,27929.0,0,0,1
77.0,645.0,1511.0,0,0,0
1382.0,15297.0,10635.0,1,0,0
3193.0,14378.0,27253.0,0,1,0
1759.0,7968.0,18745.0,0,0,0
36368.0,375084.0,173270.0,0,0,1
51.0,281.0,842.0,0,0,0
296.0,1485.0,609.0,1,0,0
2055.0,4533.0,15392.0,0,1,0
272.0,1019.0,1855.0,0,0,0
11750.0,79816.0,69755.0,0,0,1
69.0,126.0,411.0,0,0,0
144.0,1275.0,1131.0,1,0,0
3306.0,10215.0,27105.0,0,1,0
90.0,693.0,792.0,0,0,0
12414.0,98328.0,48336.0,0,0,1
195.0,807.0,1086.0,0,0,0
4848.0,45786.0,17325.0,1,0,0
21372.0,64059.0,130686.0,0,1,0
13023.0,20496.0,66465.0,0,0,0
64233.0,548484.0,248304.0,0,0,1
0.0,90.0,203.0,0,0,0
295.0,620.0,306.0,1,0,0
2401.0,3841.0,12214.0,0,1,0
1302.0,1279.0,4076.0,0,0,0
